manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MYH33TA/A,0013028086,iPad mini WF 512G 紫 MYH33,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,26400
MYHC3TA/A,0013028087,iPad mini 5G 512G 太空灰 MYHC3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,31400
MYHD3TA/A,0013028088,iPad mini 5G 512G 藍 MYHD3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,31400
MYHE3TA/A,0013028089,iPad mini 5G 512G 星光 MYHE3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,31400
MYHF3TA/A,0013028090,iPad mini 5G 512G 紫 MYHF3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,31400
MWUC3TA/A,0013028133,M4 iMac 24 8核 256 銀 MWUC3,CPU,IMAC,iMac 24 M4 256G,42900
MWUE3TA/A,0013028134,M4 iMac 24 8核 256 綠 MWUE3,CPU,IMAC,iMac 24 M4 256G,42900
MWUF3TA/A,0013028135,M4 iMac 24 8核 256 藍 MWUF3,CPU,IMAC,iMac 24 M4 256G,42900
MWUG3TA/A,0013028136,M4 iMac 24 8核 256 粉 MWUG3,CPU,IMAC,iMac 24 M4 256G,42900
MWUU3TA/A,0013028137,M4 iMac 24 10C 16 256 銀 MWUU3,CPU,IMAC,iMac 24 M4 256G,49900
MWUY3TA/A,0013028138,M4 iMac 24 10C 16 256 綠 MWUY3,CPU,IMAC,iMac 24 M4 256G,49900
MWV13TA/A,0013028139,M4 iMac 24 10C 16 256 藍 MWV13,CPU,IMAC,iMac 24 M4 256G,49900
MWV43TA/A,0013028140,M4 iMac 24 10C 16 256 粉 MWV43,CPU,IMAC,iMac 24 M4 256G,49900
MD3H4TA/A,0013028141,M4 iMac 24 10 16 256NT銀 MD3H4,CPU,IMAC,iMac 24 M4 256G,56900
MWUV3TA/A,0013028142,M4 iMac 24 10C 16 512 銀 MWUV3,CPU,IMAC,iMac 24 M4 512G,56900
MWV03TA/A,0013028143,M4 iMac 24 10C 16 512 綠 MWV03,CPU,IMAC,iMac 24 M4 512G,56900
MWV33TA/A,0013028144,M4 iMac 24 10C 16 512 藍 MWV33,CPU,IMAC,iMac 24 M4 512G,56900
MWV53TA/A,0013028145,M4 iMac 24 10C 16 512 粉 MWV53,CPU,IMAC,iMac 24 M4 512G,56900
MCR24TA/A,0013028146,M4 iMac 24 10C 24 512 銀 MCR24,CPU,IMAC,iMac 24 M4 512G,63900
MD2Q4TA/A,0013028147,M4 iMac 24 10C 24 512 綠 MD2Q4,CPU,IMAC,iMac 24 M4 512G,63900
MD2T4TA/A,0013028148,M4 iMac 24 10C 24 512 藍 MD2T4,CPU,IMAC,iMac 24 M4 512G,63900
MD2U4TA/A,0013028149,M4 iMac 24 10C 24 512 粉 MD2U4,CPU,IMAC,iMac 24 M4 512G,63900
MXCK3TA/A,0013028150,Magic Keyboard Touch ID MXCK3,Accy,*CPU Accy,Keyboard,4390
MXCL3TA/A,0013028151,Magic Keyboard MXCL3,Accy,*CPU Accy,Keyboard,2990
MXK53TA/A,0013028152,Magic Mouse 白 MXK53,Accy,*CPU Accy,Mouse,2290
MXK63TA/A,0013028153,Magic Mouse 黑 MXK63,Accy,*CPU Accy,Mouse,2990
MXK73TA/A,0013028154,Magic Keyboard 數 ID 白 MXK73,Accy,*CPU Accy,Keyboard 2,5290
MXK83TA/A,0013028155,Magic Keyboard 數 ID 黑 MXK83,Accy,*CPU Accy,Keyboard 2,5890
MXK93TA/A,0013028156,Magic Trackpad 白 MXK93,Accy,*CPU Accy,Trackpad,3790
MXKA3TA/A,0013028157,Magic Trackpad 黑 MXKA3,Accy,*CPU Accy,Trackpad,4390
SR1A2TA/A,0013028158,AC+ for iMac M4 SR1A2,Care,ACPP+,iMac ACPP+,5290
MU9D3TA/A,0013028159,M4 Mac mini 10核 16 256 MU9D3,CPU,MAC MINI,Mac mini M4 256G,19900
MU9E3TA/A,0013028160,M4 Mac mini 10核 16 512 MU9E3,CPU,MAC MINI,Mac mini M4 512G,26900
MCYT4TA/A,0013028161,M4 Mac mini 10核 24 512 MCYT4,CPU,MAC MINI,Mac mini M4 512G,33900
MCX44TA/A,0013028162,M4P Mac mini 16核 24 512 MCX44,CPU,MAC MINI,Mac mini M4 512G,46900
MC9C4FE/A,0013028163,Thunderbolt 5 Pro 1m MC9C4,Accy,*CPU Accy,Thunderbolt,2190
SR1C2TA/A,0013028164,AC+ for Mac mini M4 SR1C2,Care,ACPP+,Mac mini ACPP+,2990
MX2E3TA/A,0013028191,M4P MBP 14 512GB 銀 MX2E3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 銀,67900
MX2H3TA/A,0013028192,M4P MBP 14 512GB 黑 MX2H3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 黑,67900
MX2J3TA/A,0013028193,M4P MBP 14 1TB 黑 MX2J3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 1TB 黑,81900
MX2F3TA/A,0013028194,M4P MBP 14 1TB 銀 MX2F3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 1TB 銀,81900
MX2G3TA/A,0013028195,M4M MBP 14 1TB 銀 MX2G3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 銀,109900
MX2K3TA/A,0013028196,M4M MBP 14 1TB 黑 MX2K3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 黑,109900
MX2T3TA/A,0013028197,M4P MBP 16 24G 512G 銀 MX2T3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 銀,84900
MX2U3TA/A,0013028198,M4P MBP 16 48G 512G 銀 MX2U3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 48G 512G 銀,98900
MX2V3TA/A,0013028199,M4M MBP 16 36G 1TB 銀 MX2V3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 銀,119900
MX2W3TA/A,0013028200,M4M MBP 16 48G 1TB 銀 MX2W3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 48G 1TB 銀,134900
MX2X3TA/A,0013028201,M4P MBP 16 24G 512 黑 MX2X3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 黑,84900
MX2Y3TA/A,0013028202,M4P MBP 16 48G 512 黑 MX2Y3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 48G 512G 黑,98900
MX303TA/A,0013028203,M4M MBP 16 36G 1T 黑 MX303,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 黑,119900
MX313TA/A,0013028204,M4M MBP 16 48G 1T 黑 MX313,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 48G 1TB 黑,134900
SR172TA/A,0013028205,AC+ for MBP 14 M4 SR172,Care,ACPP+,14 MacBook Pro ACPP+,8990
SR182TA/A,0013028206,AC+ for MBP 14 M4P/M4M SR182,Care,ACPP+,14 MacBook Pro ACPP+,8990
SR192TA/A,0013028207,AC+ for MBP 16 M4P/M4M SR192,Care,ACPP+,16 MacBook Pro ACPP+,12990
MW613FE/A,0013028324,USB-C to MagSafe 3 2m MW613,Accy,#Cable,MagSafe,1490
MX763FE/A,0013028325,Apple Pencil 替換筆尖 MX763,Accy,*iPad Accy,Other,590
MWK93FE/A,0013028380,iPad Air 13 聰穎雙夾 灰 MWK93,Accy,iPad Case,iPad 10.9,3290
MXCJ3TA/A,0013028487,Magic Keyboard 數 MXCJ3,Accy,*CPU Accy,Keyboard 2,3790
MXN43TA/A,0013028488,Apple Pencil 2代 MXN43,Accy,*iPad Accy,Apple Pencil 2代,4390
MW6A3TA/A,0013028489,AW 磁性充電連接線 1m MW6A3,Accy,#Cable,Apple Watch,990
Z1FS000W1,0013028491,M4M MBP 16 128G 8T 銀 Z1FS,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 16G 8TB 銀,251900
Z1FW001VR,0013028492,M4M MBP 16 128G 8T 黑 Z1FW,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 16G 8TB 黑,251900
MD3N4FE/A,0013028499,iPhone 16e 矽膠殼 黑 MD3N4,Accy,iPhone Case,iPhone 16e,1290
MD3P4FE/A,0013028500,iPhone 16e 矽膠殼 白 MD3P4,Accy,iPhone Case,iPhone 16e,1290
MD3Q4FE/A,0013028501,iPhone 16e 矽膠殼 冬藍 MD3Q4,Accy,iPhone Case,iPhone 16e,1290
MD3W4FE/A,0013028502,iPhone 16e 矽膠殼 吊鐘花 MD3W4,Accy,iPhone Case,iPhone 16e,1290
MD3X4FE/A,0013028503,iPhone 16e 矽膠殼 湖綠 MD3X4,Accy,iPhone Case,iPhone 16e,1290
MD1Q4ZP/A,0013028504,iPhone 16e 128GB 黑 MD1Q4,iPhone,iPhone 16e,iPhone 16e 黑,21900
MD1R4ZP/A,0013028505,iPhone 16e 128GB 白 MD1R4,iPhone,iPhone 16e,iPhone 16e 白,21900
MD1T4ZP/A,0013028506,iPhone 16e 256GB 黑 MD1T4,iPhone,iPhone 16e,iPhone 16e 黑,25400
MD1W4ZP/A,0013028507,iPhone 16e 256GB 白 MD1W4,iPhone,iPhone 16e,iPhone 16e 白,25400
MD1X4ZP/A,0013028508,iPhone 16e 512GB 黑 MD1X4,iPhone,iPhone 16e,iPhone 16e 黑,32400
MD274ZP/A,0013028509,iPhone 16e 512GB 白 MD274,iPhone,iPhone 16e,iPhone 16e 白,32400
ST3V2TA/A,0013028510,AC+ for iPhone 16e ST3V2,Care,ACPP+,iPhone 16e ACPP+,3890
MD3Y4TA/A,0013028574,iPad 11 WiFi 128 銀 MD3Y4,iPad,iPad(A16),WiFi iPad 11 銀,10900
MD4A4TA/A,0013028575,iPad 11 WiFi 128 藍 MD4A4,iPad,iPad(A16),WiFi iPad 11 藍,10900
MD4D4TA/A,0013028576,iPad 11 WiFi 128 黃 MD4D4,iPad,iPad(A16),WiFi iPad 11 黃,10900
MD4E4TA/A,0013028577,iPad 11 WiFi 128 粉 MD4E4,iPad,iPad(A16),WiFi iPad 11 粉,10900
MD4G4TA/A,0013028578,iPad 11 WiFi 256 銀 MD4G4,iPad,iPad(A16),WiFi iPad 11 銀,14400
MD4H4TA/A,0013028579,iPad 11 WiFi 256 藍 MD4H4,iPad,iPad(A16),WiFi iPad 11 藍,14400
MD4J4TA/A,0013028580,iPad 11 WiFi 256 黃 MD4J4,iPad,iPad(A16),WiFi iPad 11 黃,14400
MD4P4TA/A,0013028581,iPad 11 WiFi 256 粉 MD4P4,iPad,iPad(A16),WiFi iPad 11 粉,14400
MD4Q4TA/A,0013028582,iPad 11 WiFi 512 銀 MD4Q4,iPad,iPad(A16),WiFi iPad 11 銀,21400
MD4Y4TA/A,0013028583,iPad 11 WiFi 512 藍 MD4Y4,iPad,iPad(A16),WiFi iPad 11 藍,21400
MD5A4TA/A,0013028584,iPad 11 WiFi 512 黃 MD5A4,iPad,iPad(A16),WiFi iPad 11 黃,21400
MD5C4TA/A,0013028585,iPad 11 WiFi 512 粉 MD5C4,iPad,iPad(A16),WiFi iPad 11 粉,21400
MD7F4TA/A,0013028586,iPad 11 CL 128GB 銀 MD7F4,iPad,iPad(A16),Cellular iPad 11 銀,15900
MD7G4TA/A,0013028587,iPad 11 CL 128GB 藍 MD7G4,iPad,iPad(A16),Cellular iPad 11 藍,15900
MD7H4TA/A,0013028588,iPad 11 CL 128GB 黃 MD7H4,iPad,iPad(A16),Cellular iPad 11 黃,15900
MD7J4TA/A,0013028589,iPad 11 CL 128GB 粉 MD7J4,iPad,iPad(A16),Cellular iPad 11 粉,15900
MD7K4TA/A,0013028590,iPad 11 CL 256GB 銀 MD7K4,iPad,iPad(A16),Cellular iPad 11 銀,19400
MD7L4TA/A,0013028591,iPad 11 CL 256GB 藍 MD7L4,iPad,iPad(A16),Cellular iPad 11 藍,19400
MD7M4TA/A,0013028592,iPad 11 CL 256GB 黃 MD7M4,iPad,iPad(A16),Cellular iPad 11 黃,19400
MD7N4TA/A,0013028593,iPad 11 CL 256GB 粉 MD7N4,iPad,iPad(A16),Cellular iPad 11 粉,19400
MD7P4TA/A,0013028594,iPad 11 CL 512GB 銀 MD7P4,iPad,iPad(A16),Cellular iPad 11 銀,26400
MD7Q4TA/A,0013028595,iPad 11 CL 512GB 藍 MD7Q4,iPad,iPad(A16),Cellular iPad 11 藍,26400
MD7R4TA/A,0013028596,iPad 11 CL 512GB 黃 MD7R4,iPad,iPad(A16),Cellular iPad 11 黃,26400
MD7T4TA/A,0013028597,iPad 11 CL 512GB 粉 MD7T4,iPad,iPad(A16),Cellular iPad 11 粉,26400
MC9W4TA/A,0013028598,iPad Air 11 WF 128 灰 MC9W4,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,19900
MC9X4TA/A,0013028599,iPad Air 11 WF 128 藍 MC9X4,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,19900
MC9Y4TA/A,0013028600,iPad Air 11 WF 128 星 MC9Y4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,19900
MCA04TA/A,0013028601,iPad Air 11 WF 128 紫 MCA04,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,19900
MCA14TA/A,0013028602,iPad Air 11 WF 256 灰 MCA14,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,23400
MCA34TA/A,0013028603,iPad Air 11 WF 256 藍 MCA34,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,23400
MCA44TA/A,0013028604,iPad Air 11 WF 256 星 MCA44,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,23400
MCA64TA/A,0013028605,iPad Air 11 WF 256 紫 MCA64,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,23400
MCA74TA/A,0013028606,iPad Air 11 WF 512 灰 MCA74,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,30400
MCA94TA/A,0013028607,iPad Air 11 WF 512 藍 MCA94,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,30400
MCAA4TA/A,0013028608,iPad Air 11 WF 512 星 MCAA4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,30400
MCAE4TA/A,0013028609,iPad Air 11 WF 512 紫 MCAE4,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,30400
MCAH4TA/A,0013028610,iPad Air 11 WF 1TB 灰 MCAH4,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,37400
MCAJ4TA/A,0013028611,iPad Air 11 WF 1TB 藍 MCAJ4,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,37400
MCAQ4TA/A,0013028612,iPad Air 11 WF 1TB 星 MCAQ4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,37400
MCAU4TA/A,0013028613,iPad Air 11 WF 1TB 紫 MCAU4,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,37400
MCFV4TA/A,0013028614,iPad Air 11 CL 128 灰 MCFV4,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,24900
MCFW4TA/A,0013028615,iPad Air 11 CL 128 藍 MCFW4,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,24900
MCFX4TA/A,0013028616,iPad Air 11 CL 128 星 MCFX4,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,24900
MCFY4TA/A,0013028617,iPad Air 11 CL 128 紫 MCFY4,iPad,iPad Air 11in M3,Cellular iPad Air 11 紫,24900
MCG04TA/A,0013028618,iPad Air 11 CL 256 灰 MCG04,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,28400
MCG14TA/A,0013028619,iPad Air 11 CL 256 藍 MCG14,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,28400
MCG24TA/A,0013028620,iPad Air 11 CL 256 星 MCG24,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,28400
MCG34TA/A,0013028621,iPad Air 11 CL 256 紫 MCG34,iPad,iPad Air 11in M3,Cellular iPad Air 11 紫,28400
MCG44TA/A,0013028622,iPad Air 11 CL 512 灰 MCG44,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,35400
MCG54TA/A,0013028623,iPad Air 11 CL 512 藍 MCG54,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,35400
MCG64TA/A,0013028624,iPad Air 11 CL 512 星 MCG64,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,35400
MCG74TA/A,0013028625,iPad Air 11 CL 512 紫 MCG74,iPad,iPad Air 11in M3,Cellular iPad Air 11 紫,35400
MCG84TA/A,0013028626,iPad Air 11 CL 1TB 灰 MCG84,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,42400
MCG94TA/A,0013028627,iPad Air 11 CL 1TB 藍 MCG94,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,42400
MCGA4TA/A,0013028628,iPad Air 11 CL 1TB 星 MCGA4,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,42400
MCGC4TA/A,0013028629,iPad Air 11 CL 1TB 紫 MCGC4,iPad,iPad Air 11in M3,Cellular iPad Air 11 紫,42400
MCJ14TA/A,0013028630,iPad Air 13 CL 128 灰 MCJ14,iPad,iPad Air 13in M3,Cellular iPad Air 13 灰,31900
MCJ24TA/A,0013028631,iPad Air 13 CL 128 藍 MCJ24,iPad,iPad Air 13in M3,Cellular iPad Air 13 藍,31900
MCJ34TA/A,0013028632,iPad Air 13 CL 128 星 MCJ34,iPad,iPad Air 13in M3,Cellular iPad Air 13 星,31900
MCJ44TA/A,0013028633,iPad Air 13 CL 128 紫 MCJ44,iPad,iPad Air 13in M3,Cellular iPad Air 13 紫,31900
MCJ54TA/A,0013028634,iPad Air 13 CL 256 灰 MCJ54,iPad,iPad Air 13in M3,Cellular iPad Air 13 灰,35400
MCJ64TA/A,0013028635,iPad Air 13 CL 256 藍 MCJ64,iPad,iPad Air 13in M3,Cellular iPad Air 13 藍,35400
MCJ74TA/A,0013028636,iPad Air 13 CL 256 星 MCJ74,iPad,iPad Air 13in M3,Cellular iPad Air 13 星,35400
MCJ84TA/A,0013028637,iPad Air 13 CL 256 紫 MCJ84,iPad,iPad Air 13in M3,Cellular iPad Air 13 紫,35400
MCJ94TA/A,0013028638,iPad Air 13 CL 512 灰 MCJ94,iPad,iPad Air 13in M3,Cellular iPad Air 13 灰,42400
MCJA4TA/A,0013028639,iPad Air 13 CL 512 藍 MCJA4,iPad,iPad Air 13in M3,Cellular iPad Air 13 藍,42400
MCJC4TA/A,0013028640,iPad Air 13 CL 512 星 MCJC4,iPad,iPad Air 13in M3,Cellular iPad Air 13 星,42400
MCJD4TA/A,0013028641,iPad Air 13 CL 512 紫 MCJD4,iPad,iPad Air 13in M3,Cellular iPad Air 13 紫,42400
MCJE4TA/A,0013028642,iPad Air 13 CL 1TB 灰 MCJE4,iPad,iPad Air 13in M3,Cellular iPad Air 13 灰,49400
MCJF4TA/A,0013028643,iPad Air 13 CL 1TB 藍 MCJF4,iPad,iPad Air 13in M3,Cellular iPad Air 13 藍,49400
MCJG4TA/A,0013028644,iPad Air 13 CL 1TB 星 MCJG4,iPad,iPad Air 13in M3,Cellular iPad Air 13 星,49400
MCJH4TA/A,0013028645,iPad Air 13 CL 1TB 紫 MCJH4,iPad,iPad Air 13in M3,Cellular iPad Air 13 紫,49400
MCNH4TA/A,0013028646,iPad Air 13 WF 128 灰 MCNH4,iPad,iPad Air 13in M3,WiFi iPad Air 13 灰,26900
MCNJ4TA/A,0013028647,iPad Air 13 WF 128 藍 MCNJ4,iPad,iPad Air 13in M3,WiFi iPad Air 13 藍,26900
MCNK4TA/A,0013028648,iPad Air 13 WF 128 星 MCNK4,iPad,iPad Air 13in M3,WiFi iPad Air 13 星,26900
MCNL4TA/A,0013028649,iPad Air 13 WF 128 紫 MCNL4,iPad,iPad Air 13in M3,WiFi iPad Air 13 紫,26900
MCNN4TA/A,0013028650,iPad Air 13 WF 256 灰 MCNN4,iPad,iPad Air 13in M3,WiFi iPad Air 13 灰,30400
MCNP4TA/A,0013028651,iPad Air 13 WF 256 藍 MCNP4,iPad,iPad Air 13in M3,WiFi iPad Air 13 藍,30400
MCNQ4TA/A,0013028652,iPad Air 13 WF 256 星 MCNQ4,iPad,iPad Air 13in M3,WiFi iPad Air 13 星,30400
MCNR4TA/A,0013028653,iPad Air 13 WF 256 紫 MCNR4,iPad,iPad Air 13in M3,WiFi iPad Air 13 紫,30400
MCNT4TA/A,0013028654,iPad Air 13 WF 512 灰 MCNT4,iPad,iPad Air 13in M3,WiFi iPad Air 13 灰,37400
MCNW4TA/A,0013028655,iPad Air 13 WF 512 藍 MCNW4,iPad,iPad Air 13in M3,WiFi iPad Air 13 藍,37400
MCNX4TA/A,0013028656,iPad Air 13 WF 512 星 MCNX4,iPad,iPad Air 13in M3,WiFi iPad Air 13 星,37400
MCNY4TA/A,0013028657,iPad Air 13 WF 512 紫 MCNY4,iPad,iPad Air 13in M3,WiFi iPad Air 13 紫,37400
MCQ04TA/A,0013028658,iPad Air 13 WF 1TB 灰 MCQ04,iPad,iPad Air 13in M3,WiFi iPad Air 13 灰,44400
MCQ14TA/A,0013028659,iPad Air 13 WF 1TB 藍 MCQ14,iPad,iPad Air 13in M3,WiFi iPad Air 13 藍,44400
MCQ24TA/A,0013028660,iPad Air 13 WF 1TB 星 MCQ24,iPad,iPad Air 13in M3,WiFi iPad Air 13 星,44400
MCQ34TA/A,0013028661,iPad Air 13 WF 1TB 紫 MCQ34,iPad,iPad Air 13in M3,WiFi iPad Air 13 紫,44400
MDFV4TA/A,0013028662,Air 11 M2/3 巧控鍵盤 白 MDFV4,Accy,*iPad Accy,Air 11 5th Keyboard,9490
MDFW4TA/A,0013028663,Air 13 M2/3 巧控鍵盤 白 MDFW4,Accy,*iPad Accy,Air 13 2nd Keyboard,9890
SUYD2TA/A,0013028688,AC+ for iPad A16 SUYD2,Care,ACPP+,iPad A16 ACPP+,2190
SV072TA/A,0013028689,AC+ for iPad Air 11 5 SV072,Care,ACPP+,iPad Air 11 5th ACPP+,2590
SV172TA/A,0013028690,AC+ for iPad Air 13 2 SV172,Care,ACPP+,iPad Air 13 2th ACPP+,3290
STKT2TA/A,0013028701,AC+ for Mac Studio M4 STKT2,Care,ACPP+,Mac Studio ACPP+,5290
SUWE2TA/A,0013028702,AC+ for MBA 13 M4 SUWE2,Care,ACPP+,13 MacBook Air ACPP+,6290
SUWF2TA/A,0013028703,AC+ for MBA 15 M4 SUWF2,Care,ACPP+,15 MacBook Air ACPP+,7290
MU963TA/A,0013028704,Mac Studio M4M 512GB MU963,CPU,MAC STUDIO,Mac Studio M4M 512G,67900
MU973TA/A,0013028705,Mac Studio M3U 1TB MU973,CPU,MAC STUDIO,Mac Studio M3U 1T,137900
MC654TA/A,0013028706,M4 MBA 13 24G 512 銀 MC654,CPU,MACBOOK AIR 13(M4),MacBook Air M4 24G 512G 銀,46900
MC6A4TA/A,0013028707,M4 MBA 13 24G 512 星 MC6A4,CPU,MACBOOK AIR 13(M4),MacBook Air M4 24G 512G 星,46900
MC6C4TA/A,0013028708,M4 MBA 13 24G 512 午 MC6C4,CPU,MACBOOK AIR 13(M4),MacBook Air M4 24G 512G 午,46900
MC6J4TA/A,0013028709,M4 MBA 15 24G 512 銀 MC6J4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 24G 512G 銀,53900
MC6K4TA/A,0013028710,M4 MBA 15 24G 512 星 MC6K4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 24G 512G 星,53900
MC6L4TA/A,0013028711,M4 MBA 15 24G 512 午 MC6L4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 24G 512G 午,53900
MC6T4TA/A,0013028712,M4 MBA 13 8GP 16G 256 藍 MC6T4,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 256G 藍,32900
MC6U4TA/A,0013028713,M4 MBA 13 16G 512 藍 MC6U4,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 512G 藍,39900
MC6V4TA/A,0013028714,M4 MBA 13 24G 512 藍 MC6V4,CPU,MACBOOK AIR 13(M4),MacBook Air M4 24G 512G 藍,46900
MC7A4TA/A,0013028715,M4 MBA 15 16G 256 藍 MC7A4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 256G 藍,39900
MC7C4TA/A,0013028716,M4 MBA 15 16G 512 藍 MC7C4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 512G 藍,46900
MC7D4TA/A,0013028717,M4 MBA 15 24G 512 藍 MC7D4,CPU,MACBOOK AIR 15(M4),MacBook Air M4 24G 512G 藍,53900
MW0W3TA/A,0013028718,M4 MBA 13 8GP 16G 256 銀 MW0W3,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 256G 銀,32900
MW0X3TA/A,0013028719,M4 MBA 13 16G 512 銀 MW0X3,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 512G 銀,39900
MW0Y3TA/A,0013028720,M4 MBA 13 8GP 16G 256 星 MW0Y3,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 256G 星,32900
MW103TA/A,0013028721,M4 MBA 13 16G 512 星 MW103,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 512G 星,39900
MW123TA/A,0013028722,M4 MBA 13 8GP 16G 256 午 MW123,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 256G 午,32900
MW133TA/A,0013028723,M4 MBA 13 16G 512 午 MW133,CPU,MACBOOK AIR 13(M4),MacBook Air M4 16G 512G 午,39900
MW1G3TA/A,0013028724,M4 MBA 15 16G 256 銀 MW1G3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 256G 銀,39900
MW1H3TA/A,0013028725,M4 MBA 15 16G 512 銀 MW1H3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 512G 銀,46900
MW1J3TA/A,0013028726,M4 MBA 15 16G 256 星 MW1J3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 256G 星,39900
MW1K3TA/A,0013028727,M4 MBA 15 16G 512 星 MW1K3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 512G 星,46900
MW1L3TA/A,0013028728,M4 MBA 15 16G 256 午 MW1L3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 256G 午,39900
MW1M3TA/A,0013028729,M4 MBA 15 16G 512 午 MW1M3,CPU,MACBOOK AIR 15(M4),MacBook Air M4 16G 512G 午,46900
MDV84FE/A,0013028784,USB-C to 3.5 mm Cable MDV84,Accy,#Cable,USB-C,1290
Z1K100011,0013028909,M4 iMac 24 10C 32 512 銀 Z1K1,CPU,IMAC,iMac 24 M4 512G,72900
Z1FG,0013028937,M4M MBP 14 Nano 1TB 黑 Z1FG,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 黑,114900
MDEW4TA/A,0013028942,HomePod 午夜 MDEW4,Audio,HomePod,HomePod 灰,9300
MDEY4TA/A,0013028943,HomePod 白色 MDEY4,Audio,HomePod,HomePod 白,9300
MYJF3TA/A,0013028958,Studio Display 標準斜高 MYJF3,Accy,*CPU Accy,"27"" Display",57900
MYJG3TA/A,0013028959,Studio Display 標準斜 MYJG3,Accy,*CPU Accy,"27"" Display",45900
Z1K5,0013028984,M4 iMac 24 10C 24 512 藍 Z1K5,CPU,IMAC,iMac 24 M4 512G,66800
Z1EP,0013029126,M4 iMac 24 10C 16 256 藍 Z1EP,CPU,IMAC,iMac 24 M4 256G,52800
Z1EK,0013029127,M4 iMac 24 10C 16 256 黃 Z1EK,CPU,IMAC,iMac 24 M4 256G,52800
MFHP4TA/A,0013029775,AirPods Pro 3 MFHP4,AirPods,AirPods Pro 3,AirPods Pro 第三代,7490
